,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
0,1,Abilene Christian,31,20,11,.645,-2.87,-6.87,15,5,13,3,7,8,2352,2024,1260,668,1545,.432,154,517,.298,534,728,.734,271,1036,297,211,114,616,616,71.1,90.4,.471,.335,.535,49.9,44.5,9.4,10.0,.482,24.6,27.8,.346
1,2,Air Force,32,12,20,.375,-0.37,3.02,5,13,8,7,3,9,2338,2386,1280,839,1809,.464,331,883,.375,377,530,.711,232,1040,462,200,88,366,605,68.9,108.2,.293,.488,.579,50.0,55.1,9.1,8.6,.555,15.1,22.4,.208
2,3,Akron,31,24,7,.774,7.15,-0.40,14,4,15,2,8,4,2348,2062,1240,754,1886,.400,193,636,.303,361,540,.669,355,1137,318,187,85,410,618,70.6,94.2,.286,.337,.481,49.3,42.2,8.5,8.6,.451,16.1,29.1,.191
3,4,Alabama A&M,30,8,22,.267,-18.88,-8.85,5,13,6,5,2,16,1845,2146,1205,778,1705,.456,193,595,.324,397,600,.662,275,1146,399,198,131,381,530,69.6,102.3,.352,.349,.539,52.5,51.3,9.4,11.1,.513,16.1,26.9,.233
4,5,UAB,32,19,13,.594,-0.94,-1.64,9,9,11,6,5,7,2154,2088,1280,748,1804,.415,247,738,.335,345,481,.717,275,981,353,217,102,392,555,67.2,97.2,.267,.409,.514,45.3,47.2,10.1,8.5,.483,16.2,24.3,.191
5,6,Alabama State,32,8,24,.250,-16.15,-6.53,7,11,4,5,2,16,1965,2273,1280,812,1781,.456,202,613,.330,447,683,.654,309,1160,408,238,115,459,624,70.8,100.3,.383,.344,.540,52.9,50.2,10.5,10.7,.513,17.9,29.6,.251
6,7,Alabama,31,16,15,.516,11.12,8.12,8,10,10,5,4,8,2542,2449,1260,850,2002,.425,217,695,.312,532,718,.741,382,1233,369,263,124,435,629,76.1,102.2,.359,.347,.523,50.3,43.4,11.0,12.4,.479,15.7,30.8,.266
7,8,Albany (NY),32,14,18,.438,-8.78,-5.91,7,9,7,7,5,11,2127,2190,1285,788,1876,.420,251,732,.343,363,523,.694,287,1104,430,246,109,409,574,69.7,97.9,.279,.390,.515,50.2,54.6,11.0,11.0,.487,16.1,25.5,.193
8,9,Alcorn State,30,15,15,.500,-14.64,-9.64,11,7,11,2,4,13,2251,2196,1210,795,1770,.449,200,606,.330,406,632,.642,296,1058,420,222,89,413,509,72.6,100.0,.357,.342,.530,48.7,52.8,10.1,8.1,.506,16.6,27.4,.229
9,10,American,30,16,14,.533,-4.37,-6.50,12,6,10,4,6,10,2149,2085,1205,745,1668,.447,168,526,.319,427,612,.698,296,1038,356,179,96,411,472,69.0,100.3,.367,.315,.532,51.5,47.8,8.6,8.4,.497,17.3,29.4,.256
10,11,Appalachian State,33,18,15,.545,-0.81,-0.01,11,9,10,5,7,9,2256,2222,1325,813,1886,.431,241,746,.323,355,494,.719,322,1166,447,225,86,476,645,68.6,97.8,.262,.396,.524,50.3,55.0,9.9,7.8,.495,18.3,28.0,.188
11,12,Arizona State,31,20,11,.645,11.46,8.10,11,7,13,3,6,5,2288,2184,1240,769,1796,.428,227,686,.331,419,615,.681,318,1182,388,203,119,508,569,73.7,95.5,.342,.382,.523,51.5,50.5,8.9,9.9,.491,19.6,28.4,.233
12,13,Arizona,32,21,11,.656,19.49,8.40,10,8,13,4,4,6,2445,2090,1290,708,1797,.394,211,677,.312,463,632,.733,296,1083,363,155,99,465,614,70.3,92.2,.352,.377,.498,47.5,51.3,6.8,8.0,.453,18.1,25.9,.258
13,14,Little Rock,31,21,10,.677,2.27,-1.07,15,5,13,2,8,8,2270,2152,1240,750,1769,.424,238,687,.346,414,595,.696,310,1002,377,210,99,430,650,70.2,98.9,.336,.388,.524,47.8,50.3,9.7,8.9,.491,17.3,28.2,.234
14,15,Arkansas-Pine Bluff,30,4,26,.133,-21.65,-6.41,3,15,2,8,2,18,1615,2049,1205,681,1577,.432,182,589,.309,505,744,.679,291,981,387,289,76,425,523,67.6,100.6,.472,.373,.531,51.1,56.8,14.2,7.2,.490,18.0,30.2,.320
15,16,Arkansas State,32,16,16,.500,-2.92,-0.72,8,12,10,7,6,9,2262,2301,1290,787,1725,.456,208,605,.344,519,716,.725,300,1082,437,193,67,449,668,68.5,104.2,.415,.351,.557,50.7,55.5,8.7,5.7,.517,17.9,28.9,.301
16,17,Arkansas,32,20,12,.625,13.46,7.27,7,11,14,4,4,8,2426,2228,1300,773,1808,.428,164,602,.272,518,739,.701,351,1226,324,160,95,512,687,71.4,96.0,.409,.333,.516,54.8,41.9,6.9,8.7,.473,19.2,31.3,.287
17,18,Army,30,15,15,.500,-9.10,-6.68,10,8,9,6,6,9,2128,2161,1210,801,1821,.440,267,758,.352,292,436,.670,271,1073,411,189,101,356,442,69.7,102.5,.239,.416,.533,51.4,51.3,9.0,9.2,.513,14.9,25.0,.160
18,19,Auburn,31,25,6,.806,15.04,7.39,12,6,16,1,5,5,2419,2182,1270,759,1840,.413,217,667,.325,447,623,.717,319,1090,346,207,97,418,656,70.4,97.6,.339,.363,.511,46.3,45.6,9.3,9.3,.471,16.4,27.4,.243
19,20,Austin Peay,33,21,12,.636,-0.98,-4.14,14,4,14,0,5,10,2519,2359,1325,861,1841,.468,226,626,.361,411,594,.692,303,1093,448,201,80,493,643,69.9,101.9,.323,.340,.556,47.9,52.0,8.7,6.2,.529,18.8,27.5,.223
20,21,Ball State,31,18,13,.581,4.12,-1.65,11,7,11,4,5,7,2155,1938,1240,708,1766,.401,182,593,.307,340,496,.685,275,1076,305,197,82,422,507,69.4,90.1,.281,.336,.484,49.0,43.1,9.2,9.0,.452,17.4,24.5,.193
21,22,Baylor,30,26,4,.867,20.13,9.13,15,3,14,1,8,2,2134,1804,1205,643,1618,.397,176,566,.311,342,498,.687,306,1002,339,174,146,456,549,66.6,89.9,.308,.350,.486,47.5,52.7,8.7,13.0,.452,19.7,29.9,.211
22,23,Belmont,33,26,7,.788,4.30,-6.23,15,3,13,1,11,5,2627,2241,1320,846,2033,.416,232,704,.330,317,495,.640,336,1210,398,191,97,473,478,72.8,93.3,.243,.346,.494,49.5,47.0,8.0,8.3,.473,17.3,26.3,.156
23,24,Bethune-Cookman,30,16,14,.533,-10.16,-8.98,10,6,10,1,4,13,2239,2167,1215,767,1811,.424,173,626,.276,460,701,.656,347,1151,385,215,91,471,582,75.0,95.2,.387,.346,.505,49.5,50.2,9.4,7.2,.471,18.0,29.7,.254
24,25,Binghamton,29,10,19,.345,-15.03,-4.62,4,12,7,7,3,12,2014,2221,1165,823,1810,.455,232,692,.335,343,525,.653,330,1136,420,183,83,287,430,69.4,109.8,.290,.382,.539,52.9,51.0,9.1,9.1,.519,12.2,31.0,.190
25,26,Boise State,32,20,12,.625,8.59,4.39,11,7,13,2,4,8,2430,2223,1305,814,1819,.447,212,710,.299,383,534,.717,235,1050,365,192,74,442,641,70.0,97.4,.294,.390,.536,48.5,44.8,8.4,6.9,.506,17.6,22.1,.211
26,27,Boston College,32,13,19,.406,1.82,7.86,7,13,8,10,4,8,2067,2260,1285,818,1845,.443,229,686,.334,395,552,.716,335,1220,429,218,102,464,537,69.6,101.1,.299,.372,.536,53.6,52.4,9.7,9.3,.505,18.0,30.7,.214
27,28,Boston University,34,21,13,.618,-1.87,-5.30,12,6,12,3,9,8,2410,2269,1375,850,1946,.437,225,690,.326,344,512,.672,288,1130,387,219,92,395,543,66.8,98.8,.263,.355,.518,47.9,45.5,9.5,7.0,.495,15.3,24.6,.177
28,29,Bowling Green State,31,21,10,.677,0.47,0.20,12,6,13,2,5,5,2310,2259,1250,797,1898,.420,239,726,.329,426,621,.686,314,1183,318,177,96,367,531,71.6,100.9,.327,.383,.515,48.9,39.9,7.9,7.7,.483,14.3,26.1,.224
29,30,Bradley,34,23,11,.676,5.33,0.33,11,7,15,2,4,8,2438,2240,1370,765,1939,.395,265,839,.316,445,592,.752,318,1138,400,196,99,412,591,67.3,97.1,.305,.433,.504,46.5,52.3,8.5,7.3,.463,15.7,25.4,.229
30,31,Brigham Young,32,24,8,.750,16.93,6.45,13,3,14,1,6,5,2548,2188,1295,819,1869,.438,193,626,.308,357,515,.693,266,1076,380,200,77,412,505,69.7,96.9,.276,.335,.518,50.4,46.4,8.9,6.9,.490,16.3,23.8,.191
31,32,Brown,27,15,12,.556,-4.45,-1.72,8,6,10,4,5,8,1809,1854,1080,671,1560,.430,187,568,.329,325,451,.721,252,948,323,211,110,377,524,70.2,97.8,.289,.364,.522,47.9,48.1,11.1,11.3,.490,17.5,26.4,.208
32,33,Bryant,32,15,17,.469,-6.70,-6.67,7,11,9,5,6,12,2271,2223,1285,803,1942,.413,219,706,.310,398,586,.679,348,1190,404,210,110,386,537,70.7,97.9,.302,.364,.501,48.0,50.3,9.3,10.0,.470,14.8,27.9,.205
33,34,Bucknell,34,14,20,.412,-7.73,-4.32,8,10,9,4,4,14,2299,2415,1360,860,1865,.461,201,620,.324,494,714,.692,293,1197,425,234,107,471,546,69.9,101.6,.383,.332,.548,52.1,49.4,9.8,9.5,.515,17.6,26.4,.265
34,35,Buffalo,32,20,12,.625,1.80,0.06,11,7,10,7,7,4,2516,2425,1290,880,2023,.435,219,693,.316,446,608,.734,356,1217,413,214,121,463,571,74.7,100.7,.301,.343,.524,47.5,46.9,8.9,9.1,.489,16.7,28.8,.220
35,36,Butler,31,22,9,.710,15.56,9.14,10,8,14,3,5,6,2125,1926,1245,669,1692,.395,212,642,.330,376,523,.719,272,945,349,174,96,360,512,64.6,95.8,.309,.379,.496,46.7,52.2,8.7,9.0,.458,15.6,25.4,.222
36,37,Cal Poly,30,7,23,.233,-10.00,-0.42,4,12,7,6,0,15,2027,2248,1235,756,1668,.453,222,598,.371,514,710,.724,289,1105,413,195,95,402,549,68.8,105.8,.426,.359,.561,53.1,54.6,9.2,8.5,.520,16.7,28.3,.308
37,38,Cal State Bakersfield,31,12,19,.387,-7.11,-3.26,6,10,9,7,3,12,2109,2097,1265,666,1564,.426,231,640,.361,534,741,.721,252,957,350,159,88,415,530,66.0,100.5,.474,.409,.547,45.3,52.6,7.6,6.7,.500,17.8,25.0,.341
38,39,Cal State Fullerton,31,11,20,.355,-6.79,-1.38,6,10,6,8,4,11,2127,2213,1265,783,1779,.440,192,575,.334,455,626,.727,279,1127,381,189,102,402,590,69.5,100.7,.352,.323,.533,52.0,48.7,8.6,8.9,.494,16.2,26.1,.256
39,40,Cal State Northridge,32,15,17,.469,-6.37,-0.97,10,6,10,4,5,12,2435,2528,1280,908,1960,.463,305,796,.383,407,569,.715,352,1189,491,162,101,406,583,71.4,110.7,.290,.406,.567,52.7,54.1,7.1,7.9,.541,15.4,31.2,.208
40,41,California Baptist,31,21,10,.677,-1.99,-6.66,10,6,15,5,6,5,2465,2170,1255,794,1900,.418,189,625,.302,393,576,.682,296,1048,385,189,105,335,604,70.5,98.1,.303,.329,.499,45.2,48.5,8.5,9.9,.468,13.4,24.5,.207
41,42,UC Davis,32,14,18,.438,-4.70,-2.63,8,8,8,4,5,12,2330,2286,1290,808,1752,.461,230,676,.340,440,610,.721,284,1051,469,196,90,445,562,68.4,103.7,.348,.386,.560,51.7,58.0,8.9,8.1,.527,17.9,27.5,.251
42,43,UC Irvine,32,21,11,.656,3.73,-2.18,13,3,11,2,8,8,2367,2087,1280,708,1827,.388,221,631,.350,450,641,.702,294,965,343,175,85,375,520,69.1,94.4,.351,.345,.490,43.3,48.4,7.9,6.4,.448,15.0,24.7,.246
