School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,31,20,11,.645,-2.87,-6.87,15,5,13,3,7,8,2352,2024,1260,814,1813,.449,209,676,.309,515,695,.741,337,1042,461,293,81,436,661,71.1,105.0,.383,.373,.549,50.1,56.6,13.1,7.9,.507,16.9,30.6,.284
Air Force,32,12,20,.375,-0.37,3.02,5,13,8,7,3,9,2338,2386,1280,802,1759,.456,275,734,.375,459,628,.731,237,1040,469,161,43,395,534,68.9,106.0,.357,.417,.568,50.0,58.5,7.3,4.6,.534,16.1,22.7,.261
Akron,31,24,7,.774,7.15,-0.40,14,4,15,2,8,4,2348,2062,1240,788,1789,.440,287,795,.361,485,628,.772,302,1169,405,158,91,397,548,70.6,107.2,.351,.444,.562,50.7,51.4,7.2,7.3,.521,16.0,27.9,.271
Alabama,31,16,15,.516,11.12,8.12,8,10,10,5,4,8,2542,2449,1260,854,1956,.437,334,957,.349,500,721,.693,361,1220,441,196,136,461,622,76.1,106.0,.369,.489,.553,49.7,51.6,8.2,10.4,.522,16.7,29.8,.256
Alabama A&M,30,8,22,.267,-18.88,-8.85,5,13,6,5,2,16,1845,2146,1205,656,1727,.380,154,548,.281,379,565,.671,286,1035,326,174,63,391,538,69.6,87.9,.327,.317,.462,47.5,49.7,8.3,5.7,.424,16.4,24.7,.219
Alabama State,32,8,24,.250,-16.15,-6.53,7,11,4,5,2,16,1965,2273,1280,683,1763,.387,208,687,.303,391,629,.622,295,1031,325,200,70,512,638,70.8,86.7,.357,.390,.477,47.1,47.6,8.8,6.0,.446,19.9,25.7,.222
Albany (NY),32,14,18,.438,-8.78,-5.91,7,9,7,7,5,11,2127,2190,1285,725,1768,.410,255,774,.329,422,600,.703,259,1096,409,179,90,436,533,69.7,95.0,.339,.438,.518,49.8,56.4,8.0,7.9,.482,17.5,24.1,.239
Alcorn State,30,15,15,.500,-14.64,-9.64,11,7,11,2,4,13,2251,2196,1210,784,1836,.427,268,733,.366,415,558,.744,330,1116,404,239,98,433,549,72.6,102.5,.304,.399,.536,51.3,51.5,10.9,8.4,.500,17.1,30.2,.226
American,30,16,14,.533,-4.37,-6.50,12,6,10,4,6,10,2149,2085,1205,796,1743,.457,206,606,.340,351,499,.703,267,978,384,240,106,369,521,69.0,103.4,.286,.348,.543,48.5,48.2,11.5,9.3,.516,15.7,26.5,.201
Appalachian State,33,18,15,.545,-0.81,-0.01,11,9,10,5,7,9,2256,2222,1325,775,1800,.431,212,699,.303,494,741,.667,323,1153,381,246,74,440,514,68.6,99.3,.412,.388,.524,49.7,49.2,10.8,6.5,.489,17.0,27.7,.274
Arizona,32,21,11,.656,19.49,8.40,10,8,13,4,4,6,2445,2090,1290,850,1905,.446,233,661,.352,512,699,.732,349,1198,492,216,119,378,593,70.3,107.9,.367,.347,.546,52.5,57.9,9.5,10.6,.507,14.5,30.7,.269
